Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
91,tt6320628,7/7/2019,7/7/2019,"Love Spider-Man, but these last two movies are just too childish. Looking forward to Holland in future movies. Think he is amazing  as Spider-Man but more interested in his character grown up and lose the entire supporting teen cast. ",Spider-Man: Lejos de casa,Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/,Película,7.4,129,2019,Acci�n,577821,7/5/2019,Jon Watts
92,tt1025100,11/17/2019,11/17/2019,this movie was way better than I thought it would be. to bad it had horrible press release and crap promotion. it had great action and good dialogue. It's not a blockbuster but it's a well deserved put together solid action film. ,Géminis,Gemini Man,https://www.imdb.com/title/tt1025100/,Película,5.7,117,2019,Acci�n,125528,10/11/2019,Ang Lee
93,tt8079248,9/13/2019,9/13/2019,"Solid original story . Well acted, directed. You won't regret seeing it and the music is great of course. Why the hell they put Ed Sheeran in the movie which couldn't be further away from the iconic music The Beatles produced. ",Yesterday,Yesterday,https://www.imdb.com/title/tt8079248/,Película,6.8,116,2019,Comedia,172866,7/5/2019,Danny Boyle
94,tt5886046,4/3/2019,4/3/2019," Escape Room  is an enjoyable psychological horror which despite a few nonsensical elements offers enough fun little thrills. The ending of the movie felt a bit dragged out, but the movie itself, I still consider it alright. ",Escape Room,Escape Room,https://www.imdb.com/title/tt5886046/,Película,6.4,99,2019,Acci�n,147275,3/15/2019,Adam Robitel
95,tt7984734,12/25/2019,12/25/2019,"What the hell did I just watch? Although the movie is beautifully shot and the performances are amazing, the story is batshit crazy and I have no idea why someone would be attracted to such a story  or maybe I just wasnt in the mood for it",El faro,The Lighthouse,https://www.imdb.com/title/tt7984734/,Película,7.4,109,2019,drama,267877,1/10/2020,Robert Eggers
96,tt1860242,4/21/2019,4/21/2019,"John Lee Hancock's latest film is no classic but it's got the makings of a good movie. Pleasant cinematography, a beautiful Thomas Newman score and solid performances make The Highwaymen seem a lot better than it actually is",Emboscada final,The Highwaymen,https://www.imdb.com/title/tt1860242/,Película,6.9,132,2019,Biograf�a,106866,3/29/2019,John Lee Hancock
97,tt7456310,9/14/2019,9/14/2019,"n general, it is a good movie. You'll enjoy it if you don't compare it with Nikita (1999). Strong performance by Sasha Luss, the action scenes are very well acted. An unexpected & fun ride",Anna,Anna,https://www.imdb.com/title/tt7456310/,Película,6.6,118,2019,Acci�n,99585,8/30/2019,Luc Besson
98,tt7983890,12/4/2019,12/4/2019,"The writing, directing, and cinematography are fantastic with a beautiful score as the cherry on top, but the acting can be lackluster at points bringing the over all experience down. A hidden little korean gem ",Ms. Purple,Ms. Purple,https://www.imdb.com/title/tt7983890/,Película,6.3,87,2019,drama,696,9/6/2019,Justin Chon
99,tt7958736,8/20/2019,8/20/2019,"Octavia Spencer is awesome as usual and owns this movie. If she wasn't in it there'd be no reason to see it. Just another decent psychological thriller , not really a horror",El sótano de Ma,Ma,https://www.imdb.com/title/tt7958736/,Película,5.6,99,2019,Terror,61198,6/7/2019,Tate Taylor
100,tt4520988,12/7/2019,12/7/2019,"Maybe Frozen 2 feels like the studio pushed hard for another children’s box office blowout. But the fact of the matter is, the writers, director, composers, animators and the voice artists done a very good job ",Frozen II,Frozen II,https://www.imdb.com/title/tt4520988/,Película,6.8,103,2019,Animaci�n,201236,11/22/2019,"Chris Buck, Jennifer Lee"
