Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
42,tt7401588,2/22/2019,2/22/2019,"A wholehearted family drama with some nice comedic touches to it, which get well delivered by its strong cast. Its a rare modern day family film that doesn't seek mean-spirited elements to retrieve emotions, which is a nice change of paste.",Familia al instante,Instant Family,https://www.imdb.com/title/tt7401588/,Película,7.3,118,2018,Comedia,124504,1/25/2019,Sean Anders
43,tt8075192,2/24/2019,2/24/2019,"Master Japanese filmmaker Hirokazu Kore-eda's latest presentation is a haunting, unpredictable, and complex film that can be heartbreaking at times. A breathtaking display of realism in modern Japan ",Un asunto de familia,Manbiki kazoku,https://www.imdb.com/title/tt8075192/,Película,7.9,121,2018,CRIMEN,89266,12/21/2018,Hirokazu Koreeda
44,tt6343314,2/17/2019,2/17/2019,"A very compelling and entertaining film from start to finish. Feels like Rocky 3 & 4 rolled into one! Would of liked more conflict between Rocky and Drago but except from that a very good movie, it has plenty of heart and some amazing sequences",Creed II. La leyenda de Rocky,Creed II,https://www.imdb.com/title/tt6343314/,Película,7.1,130,2018,Acci�n,159339,1/25/2019,Steven Caple Jr.
45,tt8663516,9/15/2019,9/15/2019,I am surprised to say that I actually enjoyed the direction they took this classic horror film. It still has all of the hack and slash jump scare moments you would expect from a childs play reboot .An underrated 2019 delight,Muñeco diabólico (Child's Play),Child's Play,https://www.imdb.com/title/tt8663516/,Película,5.7,90,2019,drama,57826,6/28/2019,Lars Klevberg
46,tt7339248,10/3/2019,10/3/2019,"A very smart dark comedy in its own right. You have to be in the right mood when you see it though because its sense of humor is unique, even for a dark comedy.  ",La mejor defensa es un ataque,The Art of Self-Defense,https://www.imdb.com/title/tt7339248/,Película,6.6,104,2019,Acci�n,41630,7/19/2019,Riley Stearns
47,tt6535880,10/1/2019,10/1/2019,had zero expectations for this film! Having said that this movie surprised the hell outta me! It kept me on the edge of my seat guessing what was coming next and had some really good scares and gore scenes! ,La casa del terror (Haunt),Haunt,https://www.imdb.com/title/tt6535880/,Película,6.3,92,2019,Terror,41537,11/15/2019,"Scott Beck, Bryan Woods"
48,tt6628394,1/1/2019,1/1/2019,"An excellent and intriguing film noir that holds true to the style. Excellent performances by all, with several nice twists. Just one tense and well written love letter to pulpy Tarantino films with a killer soundtrack",Malos tiempos en El Royale,Bad Times at the El Royale,https://www.imdb.com/title/tt6628394/,Película,7.1,141,2018,CRIMEN,169328,11/16/2018,Drew Goddard
49,tt7425520,8/29/2019,8/29/2019,Julio Hernández masterfully constructs a low budget dystopia that portrays the impassable desert of human misery. Nicolás Wong’s astute cinematography is  visually striking. Viva La Mexico !!,Cómprame un revolver,Cómprame un revolver,https://www.imdb.com/title/tt7425520/,Película,6.5,84,2018,CRIMEN,831,5/10/2019,Julio Hernández Cordón
50,tt4633694,2/21/2019,2/21/2019,This movie is a pure example of art. I was astonished with every frame because of the beauty on it. The colors where so alive and the special effects where very original. It was truly an amazing movie to say goodbye to Stan Lee in my heart. ,Spider-Man: Un nuevo universo,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,Película,8.4,117,2018,Animaci�n,701666,12/21/2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
51,tt8236336,12/12/2019,12/12/2019,The Report is a solid engrossing political thriller. Adam Driver and Annette Bening are both great in their roles. The film’s story is very captivating. It keeps the viewer engaged,The Report,The Report,https://www.imdb.com/title/tt8236336/,Película,7.2,119,2019,Biograf�a,52826,11/29/2019,Scott Z. Burns
52,tt6107548,9/6/2019,9/6/2019,"It was funny yet did not escape from reality, well written and clever casting. The balance between the comedy and drama was refreshing to see. ",Late Night,Late Night,https://www.imdb.com/title/tt6107548/,Película,6.5,102,2019,Comedia,41449,4/24/2020,Nisha Ganatra
53,tt6043142,10/16/2019,10/16/2019,"Fascinating and brutally honest look at one man’s conversion from a person in the depths of hatred to a healthy, contributing member of society. A tour de force performance by  Jamie Bell , Billy Elliot grew up",Skin,Skin,https://www.imdb.com/title/tt6043142/,Película,6.8,118,2018,Biograf�a,19637,3/5/2020,Guy Nattiv
54,tt4364194,11/7/2019,11/7/2019,The authentic chemistry between Shia LaBeouf and Zack Gottsagen as well as their individual performances makes The Peanut Butter Falcon truly a beautiful adventure to watch unfold.  This is what great film making is all about.,La familia que tú eliges,The Peanut Butter Falcon,https://www.imdb.com/title/tt4364194/,Película,7.6,97,2019,AVENTURA,109947,7/17/2020,"Tyler Nilson, Michael Schwartz"
55,tt9243946,10/13/2019,10/13/2019,Creators of the show succeeded in bringing viewers into a world in which we became familiar with and craved attention to detail. Brilliantly thought out and a must see for anyone who was a fan of the series. I couldn't have asked for a better ending ,El Camino. Una película de Breaking Bad,El Camino,https://www.imdb.com/title/tt9243946/,Película,7.3,122,2019,Acci�n,304934,10/11/2019,Vince Gilligan
56,tt7349950,10/6/2019,10/6/2019,"Clown was really good and the kid actors were amazing. I wish they just stayed with the kid actors and got rid of the grown-ups. This one isn't bad but didn't have the WOW factor of the first one, left a few things unanswered too. ",It: Capítulo 2,It Chapter Two,https://www.imdb.com/title/tt7349950/,Película,6.5,169,2019,drama,315127,9/6/2019,Andy Muschietti
57,tt6474040,6/6/2019,6/6/2019,"Apart from the well paced  story, the 70's aesthetics were executed perfectly with a very pleasing color pallet focusing on shades of orange and teal. A compelling dark comedy, Ethan Hawke is pure dynamite !!",El captor,Stockholm,https://www.imdb.com/title/tt6474040/,Película,6.1,92,2018,Biograf�a,15071,5/8/2020,Robert Budreau
58,tt0800325,3/28/2019,3/28/2019,"I enjoyed the movie; much like the 80s glam rock scene that the movie is set in, it was entertaining and gloriously over the top!! Appreciated the actor portrayals , so dirty you may need to shower.",The Dirt,The Dirt,https://www.imdb.com/title/tt0800325/,Película,7,107,2019,Biograf�a,56871,3/22/2019,Jeff Tremaine
59,tt5083738,1/12/2019,1/12/2019,I actually enjoyed the film much more than I had expected. The three lead actresses deserved all the credit. Their performances were insanely beautiful! Olivia Colman excels as Queen Anne,La favorita,The Favourite,https://www.imdb.com/title/tt5083738/,Película,7.5,119,2018,Biograf�a,242455,1/18/2019,Yorgos Lanthimos
60,tt6139732,8/9/2019,8/9/2019,"To be honest I really enjoyed the live action. I loved the animated classic when I was younger and this remake, while it had its small differences was pretty good. Loved everyones performances and Naomi Scott rekindled my love for Princess Jasmine.",Aladdín,Aladdin,https://www.imdb.com/title/tt6139732/,Película,6.9,128,2019,AVENTURA,296633,5/24/2019,Guy Ritchie
61,tt8364368,9/30/2019,9/30/2019,"An effective and intense throwback to the creature feature relics of times past, not doubt this will make your skin crawl.  Absolutely bloody brilliant nonsense popcorn fun ",Infierno bajo el agua,Crawl,https://www.imdb.com/title/tt8364368/,Película,6.1,87,2019,Acci�n,96800,8/23/2019,Alexandre Aja
62,tt6931414,1/1/2019,1/1/2019,"What's not to like when there are weapons with such names as malevolent wood, siege tower and wolf teeth striker? Witness the one of the greatest battle ever in the entire Asian history. The Korean Game Of Thrones mixed with 300 & Troy",La gran batalla,Ansisung,https://www.imdb.com/title/tt6931414/,Película,7,136,2018,Acci�n,6267,9/19/2018,Kwang-shik Kim
